"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"176",176,176,367,"BTa","Bulgarische Tanne","Abies borisii-regis","Abies","borisii-regis","","NB",101,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"177",177,177,368,"GTa","Griechische Tanne","Abies cephalonica","Abies","cephalonica","","NB",102,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"178",178,178,369,"SpT","Spanische Tanne","Abies pinsapo","Abies","pinsapo","","NB",105,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"179",179,179,370,"AtZ","Atlas-Zeder","Cedrus atlantica","Cedrus","atlantica","","NB",107,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"180",180,180,371,"HiZ","Himalaya-Zeder","Cedrus deodara","Cedrus","deodara","","NB",108,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"181",181,181,372,"WZe","Weiße Zeder","Cupressus lusitanica","Cupressus","lusitanica","","NB",109,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"182",182,182,373,"MZy","Mittelmeerzypresse","Cupressus sempervirens","Cupressus","sempervirens","","NB",110,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"183",183,183,374,"KKi","Kalabrische Kiefer","Pinus brutia","Pinus","brutia","","NB",121,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"184",184,184,375,"KaK","Kanarische Kiefer","Pinus canariensis","Pinus","canariensis","","NB",122,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"185",185,185,376,"AKi","Aleppo-Kiefer","Pinus halepensis","Pinus","halepensis","","NB",125,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"186",186,186,377,"ScK","Schlangenhaut-Kiefer","Pinus heldreichii","Pinus","heldreichii","","NB",126,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"187",187,187,378,"ShK","Schlangenhaut-Kiefer","Pinus leucodermis","Pinus","leucodermis","","NB",127,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"188",188,188,379,"SeK","See-Kiefer","Pinus pinaster","Pinus","pinaster","","NB",130,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
